date,ticker,shares_outstanding,nav
2026-01-06,EWJ,195000000,
2026-01-06,EWY,85850000,
2026-01-06,EWZ,209350000,
2026-01-07,EWJ,196200000,
2026-01-07,EWY,85850000,
2026-01-07,EWZ,209350000,
2026-01-08,EWJ,196200000,
2026-01-08,EWY,86650000,
2026-01-08,EWZ,209350000,
2026-01-09,EWJ,197550000,
2026-01-09,EWY,87650000,
2026-01-09,EWZ,209350000,
2026-01-12,EWJ,197550000,
2026-01-12,EWY,87650000,
2026-01-12,EWZ,209350000,
2026-01-13,EWJ,197550000,
2026-01-13,EWY,89100000,
2026-01-13,EWZ,211350000,
2026-01-14,EWJ,197550000,
2026-01-14,EWY,89950000,
2026-01-14,EWZ,213350000,
2026-01-15,EWJ,199050000,
2026-01-15,EWY,89950000,
2026-01-15,EWZ,215150000,
2026-01-16,EWJ,199050000,
2026-01-16,EWY,91100000,
2026-01-16,EWZ,218150000,
2026-01-20,EWJ,199050000,
2026-01-20,EWY,92950000,
2026-01-20,EWZ,220750000,
2026-01-21,EWJ,199050000,
2026-01-21,EWY,92950000,
2026-01-21,EWZ,221350000,
2026-01-22,EWJ,199050000,
2026-01-22,EWY,94150000,
2026-01-22,EWZ,226350000,
2026-01-23,EWJ,197550000,
2026-01-23,EWY,94450000,
2026-01-23,EWZ,231050000,
2026-01-26,EWJ,197550000,
2026-01-26,EWY,96000000,
2026-01-26,EWZ,234950000,
2026-01-27,EWJ,196200000,
2026-01-27,EWY,97150000,
2026-01-27,EWZ,236050000,
2026-01-28,EWJ,196200000,
2026-01-28,EWY,97150000,
2026-01-28,EWZ,236050000,
2026-01-29,EWJ,196200000,
2026-01-29,EWY,97850000,
2026-01-29,EWZ,236050000,
2026-01-30,EWJ,195150000,
2026-01-30,EWY,98350000,
2026-01-30,EWZ,236050000,
2026-02-02,EWJ,195150000,
2026-02-02,EWY,98800000,
2026-02-02,EWZ,237550000,
2026-02-03,EWJ,195150000,
2026-02-03,EWY,98800000,
2026-02-03,EWZ,238650000,
2026-02-04,EWJ,194850000,
2026-02-04,EWY,98800000,
2026-02-04,EWZ,240650000,
2026-02-05,EWJ,198000000,
2026-02-05,EWY,99100000,
2026-02-05,EWZ,240650000,
2026-02-06,EWJ,198000000,
2026-02-06,EWY,99100000,
2026-02-06,EWZ,240650000,
2026-02-09,EWJ,198000000,
2026-02-09,EWY,99100000,
2026-02-09,EWZ,240650000,
2026-02-10,EWJ,198000000,
2026-02-10,EWY,99500000,
2026-02-10,EWZ,240650000,
2026-02-11,EWJ,198000000,
2026-02-11,EWY,100850000,
2026-02-11,EWZ,240650000,
2026-02-12,EWJ,198000000,
2026-02-12,EWY,103050000,
2026-02-12,EWZ,240850000,
2026-02-13,EWJ,202650000,
2026-02-13,EWY,104600000,
2026-02-13,EWZ,240850000,
2026-02-17,EWJ,202650000,
2026-02-17,EWY,106450000,
2026-02-17,EWZ,240850000,
2026-02-18,EWJ,204900000,
2026-02-18,EWY,106450000,
2026-02-18,EWZ,240850000,
2026-02-19,EWJ,208200000,
2026-02-19,EWY,106450000,
2026-02-19,EWZ,240850000,
2026-02-20,EWJ,213150000,
2026-02-20,EWY,106450000,
2026-02-20,EWZ,242250000,
2026-02-23,EWJ,217200000,
2026-02-23,EWY,110250000,
2026-02-23,EWZ,244250000,
2026-02-24,EWJ,217200000,
2026-02-24,EWY,113400000,
2026-02-24,EWZ,245750000,
2026-02-25,EWJ,218550000,
2026-02-25,EWY,116000000,
2026-02-25,EWZ,247800000,
2026-02-26,EWJ,219600000,
2026-02-26,EWY,118750000,
2026-02-26,EWZ,249300000,
2026-02-27,EWJ,219600000,
2026-02-27,EWY,118850000,
2026-02-27,EWZ,249300000,
2026-03-02,EWJ,219600000,
2026-03-02,EWY,119100000,
2026-03-02,EWZ,250600000,
2026-03-03,EWJ,219600000,
2026-03-03,EWY,119100000,125.6
2026-03-03,EWZ,250600000,
2026-03-04,EWJ,222900000,85.61
2026-03-04,EWY,119650000,131.17
2026-03-04,EWZ,250600000,36.34
2026-03-05,EWJ,223800000,85.61
2026-03-05,EWY,121100000,131.17
2026-03-05,EWZ,253800000,36.34
2026-03-06,EWJ,221100000,84.53
2026-03-06,EWY,126350000,126.66
